  id  ,                                      name                                       ,      dvinci_id      ,                                   description                                   , sku , units ,   cutrite_id   ,         created_at         ,         updated_at         ,  purchasing  ,purchase_part_id
1529, Adjustable Safety Shelf                                                 , 000.935.024.x.00M   , Adjustable Safety Shelf                                           ,,, CL-ASS          ,11/12/2010 21:39:15,11/12/2010 22:03:23, Manufactured
1502, Adjustable Safety Shelf (12x12)                                                 , 000.935.920.x.00M   , Adjustable Safety Shelf                                              ,,,CL-ASS,11/12/2010 21:39:14,11/12/2010 22:03:22, Manufactured
1504, Adjustable Safety Shelf                                                 , 000.935.010.x.00M   , Adjustable Safety Shelf                                                 ,,,CL-ASS,11/12/2010 21:39:14,11/12/2010 22:03:23, Manufactured
1510, Adjustable Safety Shelf                                                 , 000.935.011.x.00M   , Adjustable Safety Shelf                                                 ,,,CL-ASS,11/12/2010 21:39:14,11/12/2010 22:03:23, Manufactured
1516, Adjustable Safety Shelf                                                 , 000.935.012.x.00M   , Adjustable Safety Shelf                                                 ,,,CL-ASS,11/12/2010 21:39:14,11/12/2010 22:03:23, Manufactured
1522, Adjustable Safety Shelf                                                 , 000.935.013.x.00M   , Adjustable Safety Shelf                                                 ,,,CL-ASS,11/12/2010 21:39:15,11/12/2010 22:03:23, Manufactured
1528, Adjustable Safety Shelf                                                 , 000.935.014.x.00M   , Adjustable Safety Shelf                                                 ,,,CL-ASS,11/12/2010 21:39:15,11/12/2010 22:03:23, Manufactured
1505, Adjustable Safety Shelf                                                 , 000.935.020.x.00M   , Adjustable Safety Shelf                                                 ,,,CL-ASS,11/12/2010 21:39:14,11/12/2010 22:03:23, Manufactured
1511, Adjustable Safety Shelf                                                 , 000.935.021.x.00M   , Adjustable Safety Shelf                                                 ,,,CL-ASS,11/12/2010 21:39:14,11/12/2010 22:03:23, Manufactured
1517, Adjustable Safety Shelf                                                 , 000.935.022.x.00M   , Adjustable Safety Shelf                                                 ,,,CL-ASS,11/12/2010 21:39:15,11/12/2010 22:03:23, Manufactured
1523, Adjustable Safety Shelf                                                 , 000.935.023.x.00M   , Adjustable Safety Shelf                                                 ,,,CL-ASS,11/12/2010 21:39:15,11/12/2010 22:03:23, Manufactured
1506, Adjustable Safety Shelf                                                 , 000.935.030.x.00M   , Adjustable Safety Shelf                                                 ,,,CL-ASS,11/12/2010 21:39:14,11/12/2010 22:03:23, Manufactured
1512, Adjustable Safety Shelf                                                 , 000.935.031.x.00M   , Adjustable Safety Shelf                                                 ,,,CL-ASS,11/12/2010 21:39:14,11/12/2010 22:03:23, Manufactured
1518, Adjustable Safety Shelf                                                 , 000.935.032.x.00M   , Adjustable Safety Shelf                                                 ,,,CL-ASS,11/12/2010 21:39:15,11/12/2010 22:03:23, Manufactured
1524, Adjustable Safety Shelf                                                 , 000.935.033.x.00M   , Adjustable Safety Shelf                                                 ,,,CL-ASS,11/12/2010 21:39:15,11/12/2010 22:03:23, Manufactured
1530, Adjustable Safety Shelf                                                 , 000.935.034.x.00M   , Adjustable Safety Shelf                                                 ,,,CL-ASS,11/12/2010 21:39:15,11/12/2010 22:03:23, Manufactured
1507, Adjustable Safety Shelf                                                 , 000.935.040.x.00M   , Adjustable Safety Shelf                                                 ,,,CL-ASS,11/12/2010 21:39:14,11/12/2010 22:03:23, Manufactured
1513, Adjustable Safety Shelf                                                 , 000.935.041.x.00M   , Adjustable Safety Shelf                                                 ,,,CL-ASS,11/12/2010 21:39:14,11/12/2010 22:03:23, Manufactured
1519, Adjustable Safety Shelf                                                 , 000.935.042.x.00M   , Adjustable Safety Shelf                                                 ,,,CL-ASS,11/12/2010 21:39:15,11/12/2010 22:03:23, Manufactured
