"Premium Door JR7, White, Door","JR7, White-949T, Door #727","9.65","sq.ft.","0.00","ea.",0.25,"ea.",11.75,"sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door JR7, White, Routed Drawer Front","JR7, White-949T, Routed DF #727R","9.65","sq.ft.","5.00","ea.",0.25,"ea.",9.25,"sq.ft.","10.00","ea.",0.25,"ea."
"Premium Door JR7, White, Slab Drawer Front","JR7, White-949T, Slab DF #727D","7.60","sq.ft.","0.00","ea.",0.25,"ea.",9.25,"sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door JR7, White, Cut for Glass Door","JR7, White-949T, Cut for Glass #727G","9.65","sq.ft.","15.00","ea.",0.25,"ea.",11.75,"sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door JR7, White, French Lite Door","JR7, White-949T, French Lite Door #727F","9.65","sq.ft.","7.50","ea.",0.25,"ea.",11.75,"sq.ft.","7.50","ea.",0.25,"ea."
"Premium Door DR1, White, Door","DR1, White-949T, Door #112",10.60,"sq.ft.","0.00","ea.",0.25,"ea.",13.25,"sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DR1, White, Routed Drawer Front","DR1, White-949T, Routed DF #112R",10.60,"sq.ft.","5.00","ea.",0.25,"ea.",9.25,"sq.ft.","10.00","ea.",0.25,"ea."
"Premium Door DR1, White, Slab Drawer Front","DR1, White-949T, Slab DF #112D",7.60,"sq.ft.","0.00","ea.",0.25,"ea.",9.25,"sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DR1, White, Cut for Glass Door","DR1, White-949T, Cut for Glass #112G",10.60,"sq.ft.","15.00","ea.",0.25,"ea.",13.25,"sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door DR1, White, French Lite Door","DR1, White-949T, French Lite #112F",10.60,"sq.ft.","7.50","ea.",0.25,"ea.",13.25,"sq.ft.","7.50","ea.",0.25,"ea."
"Premium Door AMS329, White, Door","AMS329, White-949T, Door #329",13.30,"sq.ft.","0.00","ea.",0.25,"ea.",16.20,"sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door AMS329, White, Routed Drawer Front","AMS329, White-949T, Routed DF #329R",13.30,"sq.ft.","5.00","ea.",0.25,"ea.",16.20,"sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door AMS329, White, Slab Drawer Front","AMS329, White-949T, Slab DF #329D",7.60,"sq.ft.","0.00","ea.",0.25,"ea.",9.25,"sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door AMS329, White, Cut for Glass Door","AMS329, White-949T, Cut for Glass #329G",13.30,"sq.ft.","15.00","ea.",0.25,"ea.",16.20,"sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door AMS329, White, French Lite Door","AMS329, White-949T, French Lite Door #329F",13.30,"sq.ft.","7.50","ea.",0.25,"ea.",16.20,"sq.ft.","7.50","ea.",0.25,"ea."
"Premium Door KB732, White, Door","KB732, White-949T, Door #732",6.00,"sq.ft.","0.00","ea.",0.25,"ea.",9.25,"sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door KB732, White, Slab Drawer Front","KB732, White-949T, Slab DF #732D",7.60,"sq.ft.","0.00","ea.",0.25,"ea.",9.25,"sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door KB732, White, Cut for Glass Door","KB732, White-949T, Cut for Glass #732G",6.00,"sq.ft.","15.00","ea.",0.25,"ea.",9.25,"sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door KB732, White, French Lite Door","KB732, White-949T, French Lite Door #7732F",6.00,"sq.ft.","7.50","ea.",0.25,"ea.",9.25,"sq.ft.","7.50","ea.",0.25,"ea."
"Premium Door DBQ, White, Door","DBQ816, White-949T, Door #816",6.00,"sq.ft.","0.00","ea.",0.25,"ea.",8.20,"sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DBQ, White, Slab Drawer Front","DBQ816, White-949T, Slab DF #816D",7.60,"sq.ft.","0.00","ea.",0.25,"ea.",9.25,"sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DBQ, White, Cut for Glass Door","DBQ816, White-949T, Cut for Glass #816G",6.00,"sq.ft.","15.00","ea.",0.25,"ea.",8.20,"sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door DBQ, White, French Lite Door","DBQ816, White-949T, French Lite #816F",6.00,"sq.ft.","7.50","ea.",0.25,"ea.",8.20,"sq.ft.","7.50","ea.",0.25,"ea."
"Premium Door DR8, White, Door","DR8, White-949T, Door #785",6.00,"sq.ft.","0.00","ea.",0.25,"ea.",8.20,"sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DR8, White, Routed Drawer Front","DR8, White-949T, Routed DF #785R",6.00,"sq.ft.","5.00","ea.",0.25,"ea.",9.25,"sq.ft.","5.00","ea.",0.25,"ea."
"Premium Door DR8, White, Slab Drawer Front","DR8, White-949T, Slab DF #785D",7.60,"sq.ft.","0.00","ea.",0.25,"ea.",9.25,"sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DR8, White, Cut for Glass Door","DR8, White-949T, Cut for Glass #785G",6.00,"sq.ft.","15.00","ea.",0.25,"ea.",8.20,"sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door DR8, White, French Lite Door","DR8, White-949T, French Lite Door #785F",6.00,"sq.ft.","7.50","ea.",0.25,"ea.",8.20,"sq.ft.","7.50","ea.",0.25,"ea."
"Premium Door DRS131, White, Door","DRS131, White-949T, Door #131",10.60,"sq.ft.","0.00","ea.",0.25,"ea.",13.25,"sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DRS131, White, Routed Drawer Front","DRS131, White-949T, Routed DF #131R",10.60,"sq.ft.","5.00","ea.",0.25,"ea.",9.25,"sq.ft.","10.00","ea.",0.25,"ea."
"Premium Door DRS131, White, Slab Drawer Front","DRS131, White-949T, Slab DF #131D",7.60,"sq.ft.","0.00","ea.",0.25,"ea.",9.25,"sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DRS131, White, Cut for Glass Door","DRS131, White-949T, Cut for Glass #131G",10.60,"sq.ft.","15.00","ea.",0.25,"ea.",13.25,"sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door DRS131, White, French Lite Door","DRS131, White-949T, French Lite Door #131F",10.60,"sq.ft.","7.50","ea.",0.25,"ea.",13.25,"sq.ft.","7.50","ea.",0.25,"ea."
"Crown Molding, White, 3-3/4""","Crown Molding, White-949T, 3-3/4"", 423-8, #3003",14.50,"ea.","10.00","ea.",0.25,"ea.",16.10,"ea.","0.00","ea.",0.25,"ea."
