"Account Name","Phone","Assigned To","Fax","Email","Account No","Other Phone","Email Opt Out","Modified Time","Created Time","Billing Address","Shipping Address","Billing City","Shipping City","Billing State","Shipping State","Billing Postal Code","Shipping Postal Code","Billing Country","Shipping Country","Description"
"CT of Orange CA","(714) 637-2100","tlampe","(714) 637-1400","scott@closettailors.com","AC-7",,0,"09/08/10 10:49 AM","06/25/10 04:06 PM","1927 N Glassell St","1927 N. Glassell St.","Orange","Orange","CA","CA",92865,92865,"USA","USA","Account for CT Corp"
"CT of Kelowna BC","(250) 452-9575","tlampe","(250) 764-9576","lvhunter@closettailors.com","AC-8","(250) 878-2790",0,"07/13/10 04:49 PM","07/13/10 03:02 PM","529 Lefevere Ave","529 Lefevere Ave","Kelowna","Kelowna","BC","BC","V1W-5G8","V1W-5G8","Canada","Canada",
"CT of Puyallup WA","(253) 261-4253","tlampe","(253) 447-4575","mlyon@closettailors.com","AC-9",,0,"07/13/10 04:57 PM","07/13/10 04:56 PM","17605 107th Street Court East","1310 39th Ave SE Unit 2018A","Bonney Lake","Puyallup","WA","WA",98391,98374,"USA","USA",
"CT of Madison WI","(608) 318-1667","tlampe","(608) 318-0665","twoollen@tkwstorage.com","AC-10","(608) 345-3967",0,"10/18/10 12:22 PM","07/13/10 05:27 PM","PO Box 383","460 Business Park Circle","Sun Prairie","Stoughton","WI","WI",53590,53589,"USA","USA",
"CT of Reston VA","(703) 707-0009","tlampe","(703) 889-5133","tcarter@closettailors.com","AC-11","(703) 217-8217",0,"07/14/10 12:14 PM","07/14/10 11:16 AM","11409 Snuset Hills Rd Ste. H","11409 Snuset Hills Rd Ste. H","Reston","Reston","VA","VA",20190,20190,"USA","USA",
"PG of Edmonton","(780) 444-4495","tlampe","(780) 444-4344","edmonton@premiergarage.com","AC-12",,0,"08/26/10 01:00 PM","08/11/10 02:53 PM","10503 - 170 Street","10503 - 170 Street","Edmonton","Edmonton","AB","AB","T5P 4W2","T5P 4W2","Canada","Canada",
"CT of Scottsdale AZ","(480) 298-5200","tlampe","(480) 614-9414","kkinney@closettailors.com","AC-13","(480) 298-5200 Cell",0,"08/25/10 12:26 PM","08/11/10 03:07 PM","9120 N 106th Pl","16520 Laser Dr #5","Scottsdale","Fountain Hills","AZ","AZ",85258,85268,,,
"PG Corporate","(480) 483-3030","tlampe","(480) 483-7895","info@premiergarage.com","AC-14",,0,"09/01/10 11:53 AM","09/01/10 11:53 AM","21405 N. 15th Lane","21405 N. 15th Lane","Phoenix","Phoenix","Phoenix","Phoenix",85027,85027,"USA","USA",
"CT of Allen TX","(972) 740-9944","tlampe","(972) 767-4301","Jkscheschuk@Closetailors.com","AC-15",,0,"09/09/10 09:12 AM","09/08/10 06:44 PM","1210 W. McDermott Drive Suite #104","1210 W. McDermott Drive Suite #104","Allen","Allen","TX","TX",75013,75013,"USA","USA",
"CT Corporate","(714) 637-2100","tlampe",,,"AC-16",,0,"09/22/10 08:56 AM","09/22/10 08:56 AM","1927 N Glassell St","1927 N Glassell St","Orange","Orange","CA","CA",92865,92865,"USA","USA",
"TL of Austin TX","(512) 918-9911","tlampe","(512) 986-5892","bperry@tailoredliving.com","AC-17","512-966-6736",0,"11/03/10 10:05 AM","10/18/10 03:43 PM","1003 Cherry Lane","1003 Cherry Lane","Cedar Park","Cedar Park","TX","TX",78613,78613,,,
"TL of St Louis MO","(636) 728-0333","tlampe","(314)434-1976","stlouis@premiergarage.com","AC-18","(636) 399-8262",0,"10/20/10 03:40 PM","10/20/10 03:36 PM","744 Spirit of St. Louis Blvd, Unit K","744 Spirit of St. Louis Blvd, Unit K","Chesterfield","Chesterfield","MO","MO",63005,63005,"USA","USA",
"TL of North Houston TX","(281) 292-3346","tlampe","(281 292-3300","kdgarrett@tailoredliving.com","AC-19","(281) 748-7403",0,"10/28/10 10:24 AM","10/26/10 12:00 PM","25275 Buddle Road Suite 21","25275 Buddle Road 
Suite 21","Spring","Spring","TX","TX",77380,77380,"USA","USA",
"TL of South Houston TX","(713) 996-8510","tlampe","(713) 996-8511","shouston@premiergarage.com","AC-20",,0,"10/28/10 10:23 AM","10/28/10 08:38 AM","9830 Tanner Road Suite E","9830 Tanner Road
Suite E","Houston","Houston","TX","TX",77041,77041,"USA","USA",
"TL of Vancouver Island BC","(866) 947-9427","tlampe","(250)947-9428","cgoldney@tailoredliving.com","AC-21","250-248-7777",0,"11/03/10 08:18 AM","10/28/10 10:07 AM","270 Fern Rd East","270 Fern Rd East","Qualicum Beach","Qualicum Beach","BC","BC","V9P 1R1","V9P 1R1","Canada","Canada",
"TL of Northern Kentucky","(859) 866-8266","tlampe","(859) 488-0079","dckerth@tailoredliving.com","AC-22","(859) 866-8266",0,"10/29/10 10:55 AM","10/29/10 10:54 AM","11554 US HWY 42","11554 US HWY 42","Union","Union","KY","KY",41091,41091,"USA","USA",
"TL of San Diego CA","(760) 931-1160","tlampe","(760) 931-1105","rnakamura@tailoredliving.com","AC-23",,0,"10/29/10 11:35 AM","10/29/10 11:35 AM","2270 Camino Vida Roble Suite A","2270 Camino Vida Roble Suite A","Carlsbad","Carlsbad","CA","CA",92011,92011,"USA","USA",
"TL of Ottawa ON","(613) 256-9898","tlampe",,"pwselwyn@tailoredliving.com","AC-24",,0,"11/03/10 08:32 AM","11/03/10 08:31 AM","2077 Rosetta Road","2077 Rosetta Road","Lanark","Lanark","ON","ON","K0G 1K0","K0G 1K0","Canada","Canada",
"TL of Coachella Valley CA","(760) 320-1914","tlampe",,"K1010budget@aol.com","AC-25",,0,"11/03/10 09:01 AM","11/03/10 09:01 AM","3425 N Indian Canyon Suite 6","3425 N Indian Canyon 
Suite 6","Palm City","Palm City","CA","CA",92262,92262,"USA","USA",
"TL of Orange County CA","(949) 297-3951","tlampe","(949) 297-3953","orangecounty@premiergarage.com","AC-26",,0,"11/03/10 09:53 AM","11/03/10 09:53 AM","20914 Bake Parkway Suite 102","20914 Bake Parkway
Suite # 102","Lake Forest","Lake Forest","CA","CA",92630,92630,"USA","USA",
"TL of Southeast Wisconsin","(262) 633-8850","tlampe","(262) 866-2093","jvlasak@tailoredliving.com","AC-27","(262 488 3826",0,"11/03/10 10:53 AM","11/03/10 10:53 AM","Tailored Living of Southeast Wisconsin 5407 Spring St.","Tailored Living of Southeast Wisconsin
5407 Spring St.","Racine","Racine","WI","WI",53406,53406,"USA","USA",
"TL of Portland OR","(503) 390-0522","tlampe",,"jfriesen@talioredliving.com","AC-28",,0,"11/04/10 11:08 AM","11/04/10 09:19 AM","PO Box 20066","4222 25th Ave NE","Keizer","Salem","OR","OR",97307,97301,"USA","USA",
"TL of Northeast Florida","(904) 645-0885","tlampe",,"tblin@tailoredliving.com","AC-29",,0,"11/04/10 10:48 AM","11/04/10 10:48 AM","11651 Central Parkway Suite 112","11651 Central Parkway
Suite 112","Jacksonville","Jacksonville","FL","FL",32224,32224,"USA","USA",
