PartID,CatalogID,PartString,Description - Updated 11/11/10,Quantity, Price ,Labor,Lin Ft Price, Item Price ,SuppressInBom,BulkPriced,HideInBom,SpecialFlags,Weight,Image
100000350,4,002.050.002.100.00I,~ Handle Chrome,1,2.67,0.03,,,FALSE,FALSE,0,,,
100000354,4,000.311.060.501.00I,~ Hinge,1,0.75,0,,,FALSE,FALSE,0,,,
100000355,4,000.311.070.570.00I,~ Hinge Plate,1,0.64,0,,,FALSE,FALSE,0,,,
100000356,4,000.015.055.648.00I,~ Hinge Screw,1,0.01,0,,,FALSE,FALSE,0,,,
100000357,4,000.264.042.197.00I,~ Confirmat Connector,1,0.06,0,,,FALSE,FALSE,0,,,
100000358,4,000.264.067.901.00I,"~ Installation Screws, 3""",1,0.24,0,,,FALSE,FALSE,0,,,
100000359,4,000.010.022.068.00I,"~ Assembly Screws, 1 25""",1,0.02,0,,,FALSE,FALSE,0,,,
100000360,4,000.282.040.708.00I,~ Shelf Supports,1,0.03,0,,,FALSE,FALSE,0,,,
100000362,4,000.013.009.900.00I,~ Drawer Slides Screws,1,0.06,0,,,FALSE,FALSE,0,,,
100000520,4,000.311.060.560.00I,~ Hinge (Full Overlay),1,0.86,,,,FALSE,FALSE,0,,,
100002175,4,000.990.000.100.00I,"~ Closet Rod, Polished Chrome",1,3.72,0.016667,,,FALSE,TRUE,0,BULKLEN:96,,100002175
100002178,4,000.995.000.100.00I,"~ Pole Cups (L/R pair), Polished Chrome",1,4.75,0.0111,,,FALSE,FALSE,0,,,100002178
100002186,4,000.999.040.000.00I,~ Shelf Pin,1,0.03,,,,FALSE,FALSE,0,,,
100002233,4,000.999.060.000.00I,~ Screw-In Stud,1,0.06,,,,FALSE,FALSE,0,,,
100002234,4,000.999.070.000.00I,~ Double Stud,1,0.2,,,,FALSE,FALSE,0,,,
100002265,4,000.710.014.000.00I,"~ Closet Drawer Glide, Full Extension, 14""",1,15.07,,,,FALSE,FALSE,0,,,100002263
100002268,4,000.710.020.000.00I,"~ Closet Drawer Glide, Full Extension, 20""",1,16.92,,,,FALSE,FALSE,0,,,100002263
100002353,4,000.999.050.001.00I,"~ Cam Hardware, White",1,0.21,,,,FALSE,FALSE,0,,,100002353
100002354,4,000.999.050.002.00I,"~ Cam Hardware, Beige",1,0.21,,,,FALSE,FALSE,0,,,100002353
100002355,4,000.999.050.003.00I,"~ Cam Hardware, Zinc",1,0.21,,,,FALSE,FALSE,0,,,100002353
100002356,4,000.999.050.004.00I,"~ Cam Hardware, Cinnamon",1,0.21,,,,FALSE,FALSE,0,,,100002353
100002357,4,000.999.050.005.00I,"~ Cam Hardware, Brown",1,0.21,,,,FALSE,FALSE,0,,,100002353
100002478,4,000.311.070.580.00I,~ Hinge Plate (0 mm),1,0.69,,,,FALSE,FALSE,0,,,
100002479,4,000.311.060.561.00I,~ Hinge (Half Overlay),1,0.86,,,,FALSE,FALSE,0,,,
100002480,4,000.013.009.900.00I,~ Full extension slide mounting screw (#8 X 7/16),1,0.06,,,,FALSE,FALSE,0,,,
100002481,4,000.013.014.718.00I,~ Euro Screw,1,0.03,,,,FALSE,FALSE,0,,,
100002483,4,000.260.034.905.00I,~ Hutch Base Corner Brace ,1,0.68,,,,FALSE,FALSE,0,,,
