"Belt Rack W/Slide Al Chr Pol/Bl Pl 14 1/8","30001",15.06400
"Belt Rack W/Slide Al Dk Oil-Rub.Bzd/Bl Pl 14 1/8","30002",15.94000
"Belt Rack W/Slide Al Ni Matt/Bl Pl 14 1/8","30003",15.06000
"Closet Basket St Chr 14D X 17W X 11H","30004",16.65
"Closet Basket St Chr 14D X 17W X 17H","30005",19.51
"Closet Basket St Chr 14D X 17W X 6H","30006-1",17.97
"Closet Basket St Chr 14D X 23W X 11H","30007-1",23.56
"Closet Basket St Chr 14D X 23W X 17H","30008-1",26.13000
"Closet Basket St Chr 14D X 23W X 6H","30009-1",19.86000
"Closet Basket St Chr 14D X 29W X 11H (1/box)","30010-1",23.78
"Closet Basket St Chr 14D X 29W X 11H (5/box)","30010",20.78
"Closet Basket St Chr 14D X 29W X 17H","30011-1",29.03000
"Closet Basket St Chr 14D X 29W X 6H","30012-1",22.12000
"Closet Basket St Chr 16D X 17W X 11H","30013-1",21.05000
"Closet Basket St Chr 16D X 17W X 17H","30014-1",23.30000
"Closet Basket St Chr 16D X 17W X 6H","30015-1",19.25000
"Closet Basket St Chr 16D X 23W X 11H","30016-1",23.51000
"Closet Basket St Chr 16D X 23W X 17H","30017-1",25.85000
"Closet Basket St Chr 16D X 23W X 6H","30018-1",22.56000
"Closet Basket St Chr 16D X 29W X 11H","30019",23.06
"Closet Basket St Chr 16D X 29W X 11H","30019-1",26.06000
"Closet Basket St Chr 16D X 29W X 17H  (1/box)","30020-1",30.24
"Closet Basket St Chr 16D X 29W X 17H  (5/box)","30020",27.24
"Closet Basket St Chr 16D X 29W X 6H","30021-1",24.31000
"Closet Basket St Dk Oil-Rub Bzd 14D X 17W X 11H","30022",18.52
"Closet Basket St Dk Oil-Rub Bzd 14D X 17W X 11H","30022-1",21.52
"Closet Basket St Dk Oil-Rub Bzd 14D X 17W X 17H","30023-1",27.80000
"Closet Basket St Dk Oil-Rub Bzd 14D X 17W X 6H","30024-1",20.10000
"Closet Basket St Dk Oil-Rub Bzd 14D X 23W X 11H","30025-1",25.48000
"Closet Basket St Dk Oil-Rub Bzd 14D X 23W X 17H","30026-1",28.85000
"Closet Basket St Dk Oil-Rub Bzd 14D X 23W X 6H","30027-1",20.30000
"Closet Basket St Dk Oil-Rub Bzd 14D X 29W X 11H","30028-1",26.76000
"Closet Basket St Dk Oil-Rub Bzd 16D X 17W X 11H","30029-1",25.04000
"Closet Basket St Dk Oil-Rub Bzd 16D X 17W X 17H","30030-1",29.20000
"Closet Basket St Dk Oil-Rub Bzd 16D X 17W X 6H","30031-1",21.54000
"Closet Basket St Dk Oil-Rub Bzd 16D X 23W X 11H","30032-1",26.50000
"Closet Basket St Dk Oil-Rub Bzd 16D X 23W X 17H","30033-1",30.45000
"Closet Basket St Dk Oil-Rub Bzd 16D X 23W X 6H","30034",18.11
"Closet Basket St Dk Oil-Rub Bzd 16D X 23W X 6H","30034-1",21.11000
"Closet Basket St Dk Oil-Rub Bzd 16D X 29W X 11H","30035",28.89
"Closet Basket St Dk Oil-Rub Bzd 16D X 29W X 11H","30035-1",31.89000
"Closet Basket St Dk Oil-Rub Bzd 16D X 29W X 17H","30036",32.93
"Closet Basket St Dk Oil-Rub Bzd 16D X 29W X 17H","30036-1",35.93000
"Closet Basket St Dk Oil-Rub Bzd 16D X 29W X 6H","30037",22.08
"Closet Basket St Dk Oil-Rub Bzd 16D X 29W X 6H","30037-1",25.08000
"Closet Basket St Matt Ni 12D X 23W X 11H","30038",21.00
"Closet Basket St Matt Ni 12D X 23W X 11H","30038-1",24.00000
"Closet Basket St Matt Ni 12D X 23W X 17H","30039",23.00
"Closet Basket St Matt Ni 12D X 23W X 17H","30039-1",26.00000
"Closet Basket St Matt Ni 12D X 23W X 6H","30040",16.50
"Closet Basket St Matt Ni 12D X 23W X 6H","30040-1",19.50000
"Closet Basket St Matt Ni 14D X 17W X 11H","30041",17.30
"Closet Basket St Matt Ni 14D X 17W X 11H","30041-1",20.30000
"Closet Basket St Matt Ni 14D X 17W X 17H","30042",21.51
"Closet Basket St Matt Ni 14D X 17W X 17H","30042-1",24.51000
"Closet Basket St Matt Ni 14D X 17W X 6H","30043",16.07
"Closet Basket St Matt Ni 14D X 17W X 6H","30043-1",19.07000
"Closet Basket St Matt Ni 14D X 23W X 11H","30044",21.03
"Closet Basket St Matt Ni 14D X 23W X 11H","30044-1",24.03000
"Closet Basket St Matt Ni 14D X 23W X 17H","30045",23.84
"Closet Basket St Matt Ni 14D X 23W X 17H","30045-1",26.84000
"Closet Basket St Matt Ni 14D X 23W X 6H","30046",19.80
"Closet Basket St Matt Ni 14D X 23W X 6H","30046-1",22.80000
"Closet Basket St Matt Ni 14D X 29W X 11H","30047",22.17
"Closet Basket St Matt Ni 14D X 29W X 11H","30047-1",25.17000
"Closet Basket St Matt Ni 14D X 29W X 17H","30048",26.68
"Closet Basket St Matt Ni 14D X 29W X 17H","30048-1",29.68000
"Closet Basket St Matt Ni 14D X 29W X 6H","30049",20.66
"Closet Basket St Matt Ni 14D X 29W X 6H","30049-1",23.66000
"Closet Basket St Matt Ni 16D X 17W X 11H","30050",18.65
"Closet Basket St Matt Ni 16D X 17W X 11H","30050-1",21.65000
"Closet Basket St Matt Ni 16D X 17W X 17H","30051",22.57
"Closet Basket St Matt Ni 16D X 17W X 17H","30051-1",25.57000
"Closet Basket St Matt Ni 16D X 17W X 6H","30052",17.70
"Closet Basket St Matt Ni 16D X 17W X 6H","30052-1",20.70000
"Closet Basket St Matt Ni 16D X 23W X 11H","30053",22.05
"Closet Basket St Matt Ni 16D X 23W X 11H","30053-1",25.05000
"Closet Basket St Matt Ni 16D X 23W X 17H","30054",24.95
"Closet Basket St Matt Ni 16D X 23W X 17H","30054-1",27.95000
"Closet Basket St Matt Ni 16D X 23W X 6H","30055",21.09
"Closet Basket St Matt Ni 16D X 23W X 6H","30055-1",24.09000
"Closet Basket St Matt Ni 16D X 29W X 11H","30056",25.25
"Closet Basket St Matt Ni 16D X 29W X 11H","30056-1",28.25000
"Closet Basket St Matt Ni 16D X 29W X 17H","30057",28.03
"Closet Basket St Matt Ni 16D X 29W X 17H","30057-1",31.03000
"Closet Basket St Matt Ni 16D X 29W X 6H","30058",23.21
"Closet Basket St Matt Ni 16D X 29W X 6H","30058-1",26.21000
"Closet Valet Al Chr Pol/Bl Pl 14 1/4","30059",14.70000
"Closet Valet Al Dk Oil-Rub.Bzd/Bl Pl 14 1/4","30060",15.56000
"Closet Valet Al Ni Matt/Bl Pl 14 1/4","30061",14.70000
"Shoe Fence St Chrome 17","30062",2.74400
"Shoe Fence St Chrome 23","30063",3.44000
"Shoe Fence St Chrome 29","30064",4.13000
"Shoe Fence St Dk Oil-Rub Bzd 17","30065",2.51200
"Shoe Fence St Dk Oil-Rub Bzd 23","30066",3.02400
"Shoe Fence St Dk Oil-Rub Bzd 29","30067",3.69000
"Shoe Fence St Matt Ni 17","30068",2.57600
"Shoe Fence St Matt Ni 23","30069",3.12800
"Shoe Fence St Matt Ni 29","30070",3.82000
"Sliding Wire Baskets 18X6X14 Polished Chrome","30083",14.97
"Sliding Wire Baskets 18X6X14 Polished Chrome","30083-1",17.97
"Sliding Wire Baskets W/Slide 18X11X14 Polished Chrome","30084",16.65
"Sliding Wire Baskets W/Slide 18X11X14 Polished Chrome","30084-1",19.65
"Tie Rack W/Slide Al Chr Pol/Bl Pl 14 1/8","30071",15.06000
"Tie Rack W/Slide Al Dk Oil-Rub.Bzd/Bl Pl 14 1/8","30072",15.94000
"Tie Rack W/Slide Al Ni Matt/Bl Pl 14 1/8","30073",15.06000
"Wardrobe Lift 26Lbs St Chr/Pl Bl 20 1/16","30074",38.92000
"Wardrobe Lift 26Lbs St Chr/Pl Bl 26","30075",39.53600
"Wardrobe Lift 26Lbs St Chr/Pl Bl 35 1/16","30076",40.18400
"Wardrobe Tube Al Ni Matt 1 5/16","30077",10.82400
"Wardrobe Tube Alu. Chr Pol. 1 5/16","30078",10.82000
"Wardrobe Tube Alu. Oil Rubbed Bzd 1 5/16","30079",12.95200
"Wardrobe Tube Support Zn Ni Matt F/1 5/16","30080",1.73000
"Wardrobe Tube Support Zn. Chr Pol. For 1 5/16","30081",1.72800
"Wardrobe Tube Support Zn. Oil- Rubbed Bzd For 1 5/16","30082",1.99200
