Description,Part Number,Material Charge
Acrylic Bonding Agent,6018,88.20
"Aggregate, Quartz - 20/30 - 5 Pounds",6011-20/30,52.50
"Aggregate, Quartz - 40/60 - 5 Pounds",6011-40/60,52.50
"Binder, PremierSelect 100% Solids Epoxy Catalyst B (5 Gal)Price is per Gal",6110-ClearB,49.00
"Binder, PremierSelect Gray 100% Solids Epoxy Resin A (5 Gal)",6110-GrayA,53.00
"Binder, PremierSelect Tan 100% Solids Epoxy Resin A (5 Gal)Price is per Gal",6110-TanA,53.00
"Chips, 1/4in. Custom Blend Color (priced per lb)",6650-Blend,2.75
"Chips, 1/4in. Custom Solid Color (priced per lb)",6650-Solid,2.65
"Chips, 1/8' Blended, Desert, 50 lbs",6671,135.00
"Chips, 1/8' Blended, Graphite, 50 lbs",6672,135.00
"Chips, 1/8' Blended, Scottsdale, 50 lbs",6673,135.00
"Chips, 1/8' Blended, Sedona, 50 lbs",6674,135.00
"Chips, 1/8' Blended, Smoke, 50 lbs",6675,135.00
"Chips, 1/8' Blended, Terra Cotta, 50 lbs",6676,135.00
"Chips, ¼' Blended, Blue Ice, 50 lbs",6651,135.00
"Chips, ¼' Blended, Blue Ice, 55 lbs",6005-Blue Ice,160.00
"Chips, ¼' Blended, Camouflage, 50 lbs",6652,135.00
"Chips, ¼' Blended, Camouflage, 55 lbs",6005-Camouflage,160.00
"Chips, ¼' Blended, Desert, 50 lbs",6653,135.00
"Chips, ¼' Blended, Graphite, 50 lbs",6654,135.00
"Chips, ¼' Blended, Mojave, 50 lbs",6655,135.00
"Chips, ¼' Blended, Quartzsite, 50 lbs",6656,135.00
"Chips, ¼' Blended, Scottsdale, 50 lbs",6657,135.00
"Chips, ¼' Blended, Scottsdale, 55 lbs",6005-Scottsdale,160.00
"Chips, ¼' Blended, Sedona, 50 lbs",6658,135.00
"Chips, ¼' Blended, Silverado, 50 lbs",6659,135.00
"Chips, ¼' Blended, Smoke, 50 lbs",6660,135.00
"Chips, Desert - Fine Chip Blend, #55 Box",6520-Desert FineChip,140.00
