Description,Part Number,Material Charge
The Golf Rack & Basket (Box Qty. 4),3001,22.20
The Racquet Rack (Box Qty. 4),3002,12.80
The Skate Rack & Basket (Box Qty. 4),3003,19.80
The Bike Rack & Basket (Box Qty. 4),3004,14.90
The Bike Hook (Box Qty. 4),3005,7.90
The Fish Hook (Box Qty. 4),3006,19.30
The Ski Rack (Box Qty. 4),3007,7.40
The Sports Rack & Basket (Box Qty. 4),3008,22.30
The Garden Rack & Basket (Box Qty. 4),3009,21.20
The Hand Tool Rack (Box Qty. 4),3010,12.70
The Grip Everything Hook (Box Qty. 6),3011,4.70
The Loop Hook (Box Qty. 4),3012,7.40
The Shelf with Hooks (Box Qty. 4),3013,18.00
The Big Tool Rack (Box Qty. 4),3014,13.80
The Everything Hook (Box Qty. 6),3015,4.50
The Big Everything Hook (Box Qty. 6),3016,5.00
The Work Hook (Box Qty. 6),3017,5.00
The Big Work Hook (Box Qty. 6),3018,6.30
The Basket (Box Qty. 6),3019,10.60
The Big Basket (Box Qty. 6),3020,12.80
The Grid (Box Qty. 3),3021,15.90
Gravity Bike Rack (Box Qty. 2),3022,52.00
Ceiling Mount Bike Lift (Box Qty.6),3023,21.00
Hy-Loft Professional 45x60 Adjustable,3025,103.00
"Shelf, Ventilated  - 12' Deep X 90' (6)",3027,21.00
"Shelf, Ventilated 16' Deep x 90' (6)",3029,24.00
Shelf Bracket - FreedomRail - 12' (10),3030,3.75
Shelf Bracket - FreedomRail - 16' (10),3031,4.75
Freedom Hanging Upright - 48' (6),3032,11.00
Freedom Hanging Upright - 78' (6),3033,17.60
PremierPark - Garage Parking Assistant w/ stop sign.,3035,18.00
Park Stop (6),3036,13.00
Freedom Hanging Rail - 80' (8),3037,19.50
"Rod, Closet - 96'",3038,9.00
"Socket, Closet 5mm Dowel",3039,0.75
"Shelf, Ventilated 12' Deep x 30' (6)",3041,8.00
"Shelf, Ventilated 16' Deep x 30' (6)",3042,9.50
"Shelf, Ventilated 12' Deep x 60' (6)",3043,14.25
"Shelf, Ventilated 16' Deep x 60' (6)",3044,16.75
Bike Pole (2),3045,84.00
Heavylift - Hand Crank 4' x 4' Platform,3046,149.00
Harken Bike Lift,3047,28.10
"Ventilated Shelving Brackets, 12in. (Qty 4-pair/Pack)",3049,7.70
Safe Racks - Post 8' x 1-1/2' (White),3052-A,8.08
Safe Racks - Post 4' x 1-12' (White),3052-B,4.04
Safe Racks - Wire Deck 22.5' x 48' (White),3053,18.57
Safe Racks - Double Rivet Channel Beam 48' x 2-3/4' (White),3054,4.24
Safe Racks - Double Rivet Channel Beam 96' (White),3055,12.75
Safe Racks - Center Tie Support (White),3056,4.42
Safe Racks - Warning Label,3057,0.01
Safe Racks - Hardware Bag,3058,2.12
Safe Racks - Slotted Ceiling Bracket 5' x 1-1/2' (White),3059,5.54
Mesh Sports Basket (6),3060,23.20
Big Mesh Sports Basket (6),3061,27.80
Waste Bin - Single Bin 40L,3100,115.00
Waste Bin - Double Bin 50L,3101,130.00
Shoe Rack Rod 8' Black,3110,4.75
Shoe Rack Socket Black,3111,0.43
"SlatWall Molding, Division 'T' , White 96', (4/box)",3201-DM,8.07
"SlatWall Molding, Inside/Outside Corner, White 96', (4/box)",3201-IOC,9.82
"SlatWall Molding, Large 'J', White 96', (4/box)",3201-JM,7.88
"SlatWall, Drywall Screws, White 1.625', (1000/box)",3201-S,0.05
"SlatWall Molding,Edge Cap in.Uin., White 96', (4/box)",3201-U,7.88
"SlatWall, White 12' x 96', (4/box)",3201-W,30.24
"SlatWall Molding, Division 'T' , Taupe 96', (4/box)",3202-DM,8.07
"SlatWall Molding, Inside/Outside Corner, Taupe 96', (4/box)",3202-IOC,9.82
"SlatWall Molding, Large 'J', Taupe 96', (4/box)",3202-JM,7.88
"SlatWall, Drywall Screws, Taupe 1.625', (1000/box)",3202-S,0.05
"SlatWall Molding,Edge Cap in.Uin., Taupe 96', (4/box)",3202-U,7.88
"SlatWall, Taupe 12' x 96', (4/box)",3202-W,30.24
"SlatWall Molding, Division 'T' , Maple 96', (4/box)",3203-DM,8.07
"SlatWall Molding, Inside/Outside Corner, Maple 96', (4/box)",3203-IOC,9.82
"SlatWall Molding, Large 'J', Maple 96', (4/box)",3203-JM,7.88
"SlatWall, Drywall Screws, Maple 1.625', (1000/box)",3203-S,0.05
"SlatWall Molding,Edge Cap in.Uin., Maple 96', (4/box)",3203-U,7.88
"SlatWall, Maple 12' x 96', (4/box)",3203-W,30.24
"SlatWall Molding, Division 'T' , Black 96', (4/box)",3204-DM,8.07
"SlatWall Molding, Inside/Outside Corner, Black 96', (4/box)",3204-IOC,9.82
"SlatWall Molding, Large 'J', Black 96', (4/box)",3204-JM,7.88
"SlatWall, Drywall Screws, Black 1.625', (1000/box)",3204-S,0.05
"SlatWall Molding,Edge Cap in.Uin., Black 96', (4/box)",3204-U,7.88
"SlatWall, Black 12' x 96', (4/box)",3204-W,30.24
"SlatWall Molding, Division 'T' , Gray 96', (4/box)",3205-DM,8.07
"SlatWall Molding, Inside/Outside Corner, Gray 96', (4/box)",3205-IOC,9.82
"SlatWall Molding, Large 'J', Gray 96', (4/box)",3205-JM,7.88
"SlatWall, Drywall Screws, Gray 1.625', (1000/box)",3205-S,0.05
"SlatWall Molding,Edge Cap in.Uin., Gray 96', (4/box)",3205-U,7.88
"SlatWall, Gray 12' x 96', (4/box)",3205-W,30.24
