Description,Part Number,Material Charge
Cabinet Samples-Maple & Two Premium Colors,Samples2-Cabinet,12.00
"Cabinet Samples-Maple, Windswept Bronze & Stainless..",Samples-Cabinet,18.00
Point of purchase display,7321,10.00
PremierGarage Decal (unit pack 50),7320,0.30
"Sample,PremierFlex Tile Display Rack",78001,136.50
"Sample,Stainless Countertop",890120,27.50
"Samples, 12 x 12 Floor Coating Samples",7045,50.00
"Samples, 4 x 4 Floor Coating Samples",7044,9.00
"Slatwall, Sales Display",7322,350.00
"Slatwall, Sales Kit",7323,125.00
