Description,Bridge Item,Part Number,W,L,Color,Edge,Material Charge,Total Charge
"Back,23 x 21.75",ZZ Panel 06 DON'T DELETE,820117,23,21.75,WHITE,,3.61
"Back,23 x 29.5",ZZ Panel 06 DON'T DELETE,820103,23,29.5,WHITE,,4.69
"Back,23 x 46.5",ZZ Panel 06 DON'T DELETE,820104,23,46.5,WHITE,,7.31
"Back,23 x 70.5",ZZ Panel 06 DON'T DELETE,820105,23,70.5,WHITE,,8.51
"Back,23 x 76.5",ZZ Panel 06 DON'T DELETE,820106,23,76.5,WHITE,,9.23
"Back,23 x 82.5",ZZ Panel 06 DON'T DELETE,820107,23,82.5,WHITE,,9.94
"Back,23 x 88.5",ZZ Panel 06 DON'T DELETE,820108,23,88.5,WHITE,,10.65
"Back,47 x 21.75",ZZ Panel 06 DON'T DELETE,820118,47,21.75,WHITE,,9.18
"Back,47 x 29.5",ZZ Panel 06 DON'T DELETE,820111,47,29.5,WHITE,,9.49
"Back,47 x 46.5",ZZ Panel 06 DON'T DELETE,820112,47,46.5,WHITE,,14.78
"Back,47 x 70.5",ZZ Panel 06 DON'T DELETE,820113,47,70.5,WHITE,,14.26
"Back,47 x 76.5",ZZ Panel 06 DON'T DELETE,820114,47,76.5,WHITE,,15.46
"Back,47 x 82.5",ZZ Panel 06 DON'T DELETE,820115,47,82.5,WHITE,,16.65
"Back,47 x 88.5",ZZ Panel 06 DON'T DELETE,820116,47,88.5,WHITE,,17.85
"Blind Panel,26 x 23.25 HARDROCK MAPLE",WXL Side Panel,801327,26,23.25,HARDROCK MAPLE,HARDROCK MAPLE,27.30
"Blind Panel,26 x 23.25 White",WXL Side Panel,821327,26,23.25,WHITE,WHITE,26.30
"Blind Panel,26 x 23.25 Windswept WINDSWEPT BRONZE",WXL Side Panel,811327,26,23.25,WINDSWEPT BRONZE,WINDSWEPT BRONZE,31.50
"Blind Panel,26 x 23.25 Windswept WINDSWEPT PEWTER",WXL Side Panel,831327,26,23.25,WINDSWEPT PEWTER,WINDSWEPT PEWTER,31.50
"Blind Panel,26 x 31 Granite",WXL Side Panel,880323a,26,31,,,25.46
"Blind Panel,26 x 31 HARDROCK MAPLE",WXL Side Panel,801323,26,31,HARDROCK MAPLE,HARDROCK MAPLE,31.50
"Blind Panel,26 x 31 Red",WXL Side Panel,880323b,26,31,,,25.46
"Blind Panel,26 x 31 White",WXL Side Panel,821323,26,31,WHITE,WHITE,30.50
"Blind Panel,26 x 31 Windswept WINDSWEPT BRONZE",WXL Side Panel,811323,26,31,WINDSWEPT BRONZE,WINDSWEPT BRONZE,36.50
"Blind Panel,26 x 31 Windswept WINDSWEPT PEWTER",WXL Side Panel,831323,26,31,WINDSWEPT PEWTER,WINDSWEPT PEWTER,36.50
"Blind Panel,26 x 78 Granite",WXL Side Panel,880324a,26,78,,,52.97
"Blind Panel,26 x 78 HARDROCK MAPLE",WXL Side Panel,801324,26,78,HARDROCK MAPLE,HARDROCK MAPLE,35.60
"Blind Panel,26 x 78 Red",WXL Side Panel,880324b,26,78,,,52.97
"Blind Panel,26 x 78 White",WXL Side Panel,821324,26,78,WHITE,WHITE,34.60
"Blind Panel,26 x 78 Windswept WINDSWEPT BRONZE",WXL Side Panel,811324,26,78,WINDSWEPT BRONZE,WINDSWEPT BRONZE,41.40
"Blind Panel,26 x 78 Windswept WINDSWEPT PEWTER",WXL Side Panel,831324,26,78,WINDSWEPT PEWTER,WINDSWEPT PEWTER,41.40
"Blind Panel,26 x 84 Granite",WXL Side Panel,880325a,26,84,,,54.20
"Blind Panel,26 x 84 HARDROCK MAPLE",WXL Side Panel,801325,26,84,HARDROCK MAPLE,HARDROCK MAPLE,35.60
"Blind Panel,26 x 84 Red",WXL Side Panel,880325b,26,84,,,54.20
"Blind Panel,26 x 84 White",WXL Side Panel,821325,26,84,WHITE,WHITE,34.60
"Blind Panel,26 x 84 Windswept WINDSWEPT BRONZE",WXL Side Panel,811325,26,84,WINDSWEPT BRONZE,WINDSWEPT BRONZE,41.40
"Blind Panel,26 x 84 Windswept WINDSWEPT PEWTER",WXL Side Panel,831325,26,84,WINDSWEPT PEWTER,WINDSWEPT PEWTER,41.40
"Blind Panel,26 x 90 HARDROCK MAPLE",WXL Side Panel,801326,26,90,HARDROCK MAPLE,HARDROCK MAPLE,36.75
"Blind Panel,26 x 90 White",WXL Side Panel,821326,26,90,WHITE,WHITE,35.75
"Blind Panel,26 x 90 Windswept WINDSWEPT BRONZE",WXL Side Panel,811326,26,90,WINDSWEPT BRONZE,WINDSWEPT BRONZE,42.80
"Blind Panel,26 x 90 Windswept WINDSWEPT PEWTER",WXL Side Panel,831326,26,90,WINDSWEPT PEWTER,WINDSWEPT PEWTER,42.80
"Deck Filler,Sliding Doors,14.875 x 46.5",WXL Deck,820206,14.875,46.5,WHITE,WHITE,4.60
"Deck Filler,Sliding Doors,46.5 x 21.75",WXL Deck,820207,46.5,21.75,WHITE,WHITE,4.60
"Deck,12 x 22.5 w/HARDROCK MAPLE Edge",WXL Deck,800200,12,,WHITE,HARDROCK MAPLE,4.70
"Deck,12 x 22.5 w/White Edge",WXL Deck,820200,12,,WHITE,WHITE,9.45
"Deck,12 x 22.5 w/Windswept WINDSWEPT BRONZE Edge",WXL Deck,810200,12,,WHITE,WINDSWEPT BRONZE,4.70
"Deck,12 x 22.5 w/Windswept WINDSWEPT PEWTER Edge",WXL Deck,830200,12,,WHITE,WINDSWEPT PEWTER,4.70
"Deck,12 x 46.5 w/HARDROCK MAPLE Edge",WXL Deck,800201,12,,WHITE,HARDROCK MAPLE,9.69
"Deck,12 x 46.5 w/White Edge",WXL Deck,820201,12,,WHITE,WHITE,11.76
"Deck,12 x 46.5 w/Windswept WINDSWEPT BRONZE Edge",WXL Deck,810201,12,,WHITE,WINDSWEPT BRONZE,9.69
"Deck,12 x 46.5 w/Windswept WINDSWEPT PEWTER Edge",WXL Deck,830201,12,,WHITE,WINDSWEPT PEWTER,9.69
"Deck,16 x 22.5 w/HARDROCK MAPLE Edge",WXL Deck,800202,16,,WHITE,HARDROCK MAPLE,6.08
"Deck,16 x 22.5 w/White Edge",WXL Deck,820202,16,,WHITE,WHITE,6.08
"Deck,16 x 22.5 w/Windswept WINDSWEPT BRONZE Edge",WXL Deck,810202,16,,WHITE,WINDSWEPT BRONZE,6.08
