"Product Name","Product No","Product Active","Customer Part No","Product Category","Stocking Code","GL Account","Kanban Part","CutRite Product ID","Weight","QB Product Code","Shipping Method","Part Number","Nom W","Case Material","Nom H","Cabinet Material","Nom D","Cabinet Edgeband","Eng W","Cabinet Edgeband 2","Eng H","Door Material","Eng D","Door Edgeband","Product Sheet","Created Time","Website","Modified Time","Unit Price","Tax Class","Stock Type","Qty/Unit","Usage Unit","Reorder Level","Qty. in Stock","Qty. in Demand","Handler","Product Image","Description"
"Deck,12 x 22.5 w/Maple Edge","SKU-100000","1","800200","Not Accessible","","Cabinets","0","CCP-DEK","7.260","800200","Not Accessible","CCP-DEK-12x22.5-MAP","12.000","","22.500","HARDROCK MAPLE","0.000","","304.800","1_MAPLE_PVC","571.500","","0.000","","","2010-06-18 12:12:55","","2010-06-24 12:30:23","4.70","","Inventory Part","1.00","Each","0","0.000","0","erichunt","",""
"Deck,12 x 46.5 w/Maple Edge","SKU-100001","1","800201","Not Accessible","","Cabinets","0","CCP-DEK","15.000","800201","Not Accessible","CCP-DEK-12x46.5-MAP","12.000","","46.500","HARDROCK MAPLE","0.000","","304.800","1_MAPLE_PVC","1181.100","","0.000","","","2010-06-18 12:12:56","","2010-06-21 13:05:45","9.69","","Inventory Part","1.00","Each","0","0.000","0","erichunt","",""
"Deck,16 x 22.5 w/Maple Edge","SKU-100002","1","800202","Not Accessible","","Cabinets","0","CCP-DEK","9.680","800202","Not Accessible","CCP-DEK-16x22.5-MAP","16.000","","22.500","HARDROCK MAPLE","0.000","","406.400","1_MAPLE_PVC","571.500","","0.000","","","2010-06-18 12:12:56","","2010-06-21 13:05:45","6.08","","Inventory Part","1.00","Each","0","0.000","0","erichunt","",""
"Deck,16 x 46.5 w/Maple Edge","SKU-100003","1","800203","Not Accessible","","Cabinets","0","CCP-DEK","20.000","800203","Not Accessible","CCP-DEK-16x46.5-MAP","16.000","","46.500","HARDROCK MAPLE","0.000","","406.400","1_MAPLE_PVC","1181.100","","0.000","","","2010-06-18 12:12:56","","2010-06-21 13:05:46","11.92","","Inventory Part","1.00","Each","0","0.000","0","erichunt","",""
"Deck,23 x 22.5 w/Maple Edge","SKU-100004","1","800204","Not Accessible","","Cabinets","0","CCP-DEK","13.910","800204","Not Accessible","CCP-DEK-23x22.5-MAP","23.000","","22.500","HARDROCK MAPLE","0.000","","584.200","1_MAPLE_PVC","571.500","","0.000","","","2010-06-18 12:12:56","","2010-06-21 13:05:46","8.78","","Inventory Part","1.00","Each","0","0.000","0","erichunt","",""
"Deck,23 x 46.5 w/Maple Edge","SKU-100005","1","800205","Not Accessible","","Cabinets","0","CCP-DEK","28.740","800205","Not Accessible","CCP-DEK-23x46.5-MAP","23.000","","46.500","HARDROCK MAPLE","0.000","","584.200","1_MAPLE_PVC","1181.100","","0.000","","","2010-06-18 12:12:57","","2010-06-21 13:05:47","16.92","","Inventory Part","1.00","Each","0","0.000","0","erichunt","",""
"Deck,20 x 22.5 w/Maple Edge","SKU-100006","1","800208","Not Accessible","","Cabinets","0","CCP-DEK","12.090","800208","Not Accessible","CCP-DEK-20x22.5-MAP","20.000","","22.500","HARDROCK MAPLE","0.000","","508.000","1_MAPLE_PVC","571.500","","0.000","","","2010-06-18 12:12:57","","2010-06-21 13:05:47","7.54","","Inventory Part","1.00","Each","0","0.000","0","erichunt","",""
"Deck,20 x 46.5 w/Maple Edge","SKU-100007","1","800209","Not Accessible","","Cabinets","0","CCP-DEK","24.990","800209","Not Accessible","CCP-DEK-20x46.5-MAP","20.000","","46.500","HARDROCK MAPLE","0.000","","508.000","1_MAPLE_PVC","1181.100","","0.000","","","2010-06-18 12:12:58","","2010-06-21 13:05:48","14.75","","Inventory Part","1.00","Each","0","0.000","0","erichunt","",""
"Door,23.875 x 23 Maple","SKU-100008","1","800300","Not Accessible","","Cabinets","0","CCP-DOR","10.910","800300","Not Accessible","CCP-DOR-23.875x23-MAP","23.875","","23.000","HARDROCK MAPLE","0.000","","606.400","","584.200","3/4_MAPLE/WHITE","0.000","3/4_MAPLE_PVC","","2010-06-18 12:12:58","","2010-06-21 13:05:49","10.48","","Inventory Part","1.00","Each","0","0.000","0","erichunt","",""
"Door,23.875 x 48 Maple","SKU-100009","1","800305","Not Accessible","","Cabinets","0","CCP-DOR","22.760","800305","Not Accessible","CCP-DOR-23.875x48-MAP","23.875","","48.000","HARDROCK MAPLE","0.000","","606.400","","1219.200","3/4_MAPLE/WHITE","0.000","3/4_MAPLE_PVC","","2010-06-18 12:12:59","","2010-06-21 13:05:49","20.49","","Inventory Part","1.00","Each","0","0.000","0","erichunt","",""
